num_measurements,num_modules,lda1,lda2,sparsity,gene_set_size,avg_best_score
10,10,6.5,0.1,0.045000000000000005,5000,0.4601152366665492
10,10,6.5,0.1,0.08,1000,0.4137388087713135
10,10,4.0,1.0,0.045000000000000005,5000,0.6115117067736332
10,10,4.0,1.0,0.027500000000000004,5000,0.6031734398984441
10,10,9.0,0.1,0.027500000000000004,500,0.34395214218461706
10,10,9.0,0.1,0.01,500,0.3009437715196962
10,10,9.0,0.1,0.045000000000000005,500,0.32841858356994097
10,10,9.0,0.325,0.045000000000000005,500,0.3691227075272437
10,10,9.0,0.1,0.01,1000,0.34168025015695286
10,10,9.0,0.325,0.027500000000000004,500,0.3687578524791184
10,10,9.0,0.1,0.08,500,0.30212129342056904
10,10,9.0,0.1,0.0625,5000,0.464359960923099
10,10,9.0,0.1,0.027500000000000004,1000,0.4402860757875667
10,10,9.0,0.1,0.01,5000,0.4424240665370592
10,10,9.0,0.1,0.0625,1000,0.3884752783180632
10,10,9.0,0.325,0.01,500,0.3748621592045644
10,10,9.0,0.1,0.08,5000,0.4665231150643584
10,10,9.0,0.1,0.08,1000,0.4013545310506575
10,10,9.0,0.325,0.08,500,0.3767546091161255
10,10,9.0,0.55,0.01,500,0.40206531794520445
10,10,9.0,0.325,0.027500000000000004,1000,0.4775099893444582
10,10,9.0,0.1,0.0625,500,0.3313320340273886
10,10,9.0,0.325,0.01,1000,0.4557421025570778
10,10,9.0,0.1,0.027500000000000004,5000,0.4483971458743983
10,10,9.0,0.55,0.027500000000000004,500,0.43785974339611516
10,10,9.0,0.1,0.045000000000000005,5000,0.45262454161931565
10,10,9.0,0.1,0.045000000000000005,1000,0.3964265624231469
10,10,9.0,0.55,0.045000000000000005,500,0.408428991828757
10,10,9.0,0.55,0.01,1000,0.4512019714346568
10,10,9.0,0.325,0.0625,500,0.3648467903399036
10,10,9.0,0.55,0.027500000000000004,1000,0.5300916811095322
10,10,9.0,0.325,0.045000000000000005,1000,0.4678205583106302
10,10,9.0,0.325,0.0625,1000,0.3953149427438384
10,10,9.0,0.325,0.08,1000,0.4808265527032834
10,10,9.0,0.55,0.08,500,0.43357678276656986
10,10,9.0,0.55,0.0625,500,0.4140275093358543
10,10,9.0,0.55,0.045000000000000005,1000,0.556475845730527
10,10,9.0,0.55,0.01,5000,0.554811385969735
10,10,9.0,0.325,0.027500000000000004,5000,0.4868135005794024
10,10,9.0,0.55,0.0625,1000,0.4227104667295979
10,10,9.0,0.325,0.0625,5000,0.5223563530314855
10,10,9.0,0.325,0.08,5000,0.5362546633551285
10,10,9.0,0.325,0.01,5000,0.5055488283395738
10,10,9.0,0.325,0.045000000000000005,5000,0.5033206872540718
10,10,9.0,0.55,0.027500000000000004,5000,0.5685964143002916
10,10,9.0,0.55,0.08,1000,0.4693137564651174
10,10,9.0,0.775,0.027500000000000004,500,0.4426017902214655
10,10,9.0,1.0,0.01,500,0.4212404515449304
