repeat_id,num_cells,num_modules,num_measurements,gene_set_size,lda1,lda2,sparsity,best_score
8,30000,40,200,5000,8.0,10.0,0.02,0.7283774677865015
9,30000,40,200,5000,8.0,10.0,0.02,0.7277715442908096
10,30000,40,200,5000,8.0,10.0,0.02,0.7315526621398025
1,50000,40,200,5000,8.0,10.0,0.02,0.7277581626250778
2,50000,40,200,5000,8.0,10.0,0.02,0.7262032624388077
3,50000,40,200,5000,8.0,10.0,0.02,0.7227076923795167
4,50000,40,200,5000,8.0,10.0,0.02,0.724988686701014
5,50000,40,200,5000,8.0,10.0,0.02,0.7248595920082854
6,50000,40,200,5000,8.0,10.0,0.02,0.7268271641809853
7,50000,40,200,5000,8.0,10.0,0.02,0.7226101920557916
8,50000,40,200,5000,8.0,10.0,0.02,0.724583659620867
9,50000,40,200,5000,8.0,10.0,0.02,0.7255655910306252
10,50000,40,200,5000,8.0,10.0,0.02,0.7239698075671765
1,75000,40,200,5000,8.0,10.0,0.02,0.7173770943514554
2,75000,40,200,5000,8.0,10.0,0.02,0.7195968320552398
3,75000,40,200,5000,8.0,10.0,0.02,0.7229667149648927
4,75000,40,200,5000,8.0,10.0,0.02,0.7232916828310005
5,75000,40,200,5000,8.0,10.0,0.02,0.7152616302624597
6,75000,40,200,5000,8.0,10.0,0.02,0.7187252623605298
7,75000,40,200,5000,8.0,10.0,0.02,0.7168120994282831
8,75000,40,200,5000,8.0,10.0,0.02,0.7223343418845272
9,75000,40,200,5000,8.0,10.0,0.02,0.7231255901008379
10,75000,40,200,5000,8.0,10.0,0.02,0.7240245804388706
1,100000,40,200,5000,8.0,10.0,0.02,0.7178989112063379
2,100000,40,200,5000,8.0,10.0,0.02,0.7147658033128187
3,100000,40,200,5000,8.0,10.0,0.02,0.7126871146695859
4,100000,40,200,5000,8.0,10.0,0.02,0.7147157191157917
5,100000,40,200,5000,8.0,10.0,0.02,0.7157915279859982
6,100000,40,200,5000,8.0,10.0,0.02,0.7181658305915575
7,100000,40,200,5000,8.0,10.0,0.02,0.7146679001960156
8,100000,40,200,5000,8.0,10.0,0.02,0.7059642185197526
9,100000,40,200,5000,8.0,10.0,0.02,0.7147391252702503
10,100000,40,200,5000,8.0,10.0,0.02,0.7066607360589221
