num_measurements,num_cells,min_pools_per_gene,max_pools_per_gene,num_modules,lda1,lda2,sparsity,gene_set_size,avg_best_score
100,10000,6,6,40,8.0,8.0,0.02,500,0.9033656048446399
100,10000,5,6,40,8.0,8.0,0.02,1000,0.8190776598160605
100,10000,5,8,40,8.0,8.0,0.02,5000,0.7014809750925568
100,10000,6,2,40,8.0,8.0,0.02,5000,0.7099104224011267
100,10000,6,6,40,8.0,8.0,0.02,1000,0.8190787619680673
100,10000,6,1,40,8.0,8.0,0.02,1000,0.7296015486041839
100,10000,6,5,40,8.0,8.0,0.02,1000,0.827627273576683
100,10000,6,3,40,8.0,8.0,0.02,5000,0.7160459717139781
100,10000,6,7,40,8.0,8.0,0.02,500,0.901278017581217
100,10000,6,4,40,8.0,8.0,0.02,1000,0.8281297939927376
100,10000,6,6,40,8.0,8.0,0.02,5000,0.7114807787344424
100,10000,7,1,40,8.0,8.0,0.02,500,0.7811765814084248
100,10000,6,8,40,8.0,8.0,0.02,1000,0.8173644395313155
100,10000,7,1,40,8.0,8.0,0.02,1000,0.644350798312462
100,10000,6,8,40,8.0,8.0,0.02,500,0.9021913009696458
100,10000,6,7,40,8.0,8.0,0.02,1000,0.8187235652533882
100,10000,7,2,40,8.0,8.0,0.02,1000,0.8168850465789811
100,10000,6,4,40,8.0,8.0,0.02,5000,0.709046002630754
100,10000,6,5,40,8.0,8.0,0.02,5000,0.7150108224341077
100,10000,6,7,40,8.0,8.0,0.02,5000,0.707186054818475
100,10000,7,4,40,8.0,8.0,0.02,1000,0.7972543483336226
100,10000,7,3,40,8.0,8.0,0.02,500,0.8790543549895793
100,10000,7,4,40,8.0,8.0,0.02,500,0.8996746789667462
100,10000,7,3,40,8.0,8.0,0.02,1000,0.8171799129556817
100,10000,7,2,40,8.0,8.0,0.02,500,0.8920486982295877
100,10000,7,2,40,8.0,8.0,0.02,5000,0.7116306963465593
100,10000,7,5,40,8.0,8.0,0.02,1000,0.8306865952406157
100,10000,8,2,40,8.0,8.0,0.02,500,0.9004335468262864
100,10000,6,8,40,8.0,8.0,0.02,5000,0.7117185145528839
100,10000,8,1,40,8.0,8.0,0.02,500,0.8423844469545084
100,10000,7,8,40,8.0,8.0,0.02,500,0.9071666270502853
100,10000,7,3,40,8.0,8.0,0.02,5000,0.7166500943930945
100,10000,7,7,40,8.0,8.0,0.02,500,0.8930877776895079
100,10000,7,6,40,8.0,8.0,0.02,1000,0.8318548703999651
100,10000,7,4,40,8.0,8.0,0.02,5000,0.7147336747877524
100,10000,7,1,40,8.0,8.0,0.02,5000,0.6904966362219541
100,10000,7,6,40,8.0,8.0,0.02,500,0.9034184078980386
100,10000,7,8,40,8.0,8.0,0.02,1000,0.8228109421215442
100,10000,7,5,40,8.0,8.0,0.02,500,0.907136326443345
100,10000,7,7,40,8.0,8.0,0.02,1000,0.8326244146363455
100,10000,8,1,40,8.0,8.0,0.02,1000,0.6513984276248082
100,10000,7,7,40,8.0,8.0,0.02,5000,0.7056181613039848
100,10000,7,8,40,8.0,8.0,0.02,5000,0.7042788995762592
100,10000,7,5,40,8.0,8.0,0.02,5000,0.7123692128855252
100,10000,8,2,40,8.0,8.0,0.02,1000,0.8194276684965163
100,10000,8,3,40,8.0,8.0,0.02,1000,0.8225040673755322
100,10000,8,3,40,8.0,8.0,0.02,500,0.890671568495488
100,10000,8,6,40,8.0,8.0,0.02,500,0.906354524812978
100,10000,8,5,40,8.0,8.0,0.02,1000,0.8245253487851265
100,10000,8,5,40,8.0,8.0,0.02,500,0.9039566357081302
100,10000,8,6,40,8.0,8.0,0.02,1000,0.8279131388341664
100,10000,8,2,40,8.0,8.0,0.02,5000,0.7201136525927073
100,10000,8,8,40,8.0,8.0,0.02,500,0.8487318117779743
100,10000,7,6,40,8.0,8.0,0.02,5000,0.7100989705970383
100,10000,8,6,40,8.0,8.0,0.02,5000,0.7160674775019535
100,10000,8,8,40,8.0,8.0,0.02,1000,0.8277456525205602
100,10000,8,7,40,8.0,8.0,0.02,1000,0.8042626671382831
100,10000,8,4,40,8.0,8.0,0.02,5000,0.715864718828622
100,10000,8,7,40,8.0,8.0,0.02,500,0.8958775857944538
100,10000,8,1,40,8.0,8.0,0.02,5000,0.6807336144351358
100,10000,8,4,40,8.0,8.0,0.02,500,0.8821736400407996
100,10000,8,7,40,8.0,8.0,0.02,5000,0.7043277086842651
100,10000,8,4,40,8.0,8.0,0.02,1000,0.7983927735933168
100,10000,8,5,40,8.0,8.0,0.02,5000,0.7086338279036611
100,10000,8,8,40,8.0,8.0,0.02,5000,0.7006572701788305
100,10000,8,3,40,8.0,8.0,0.02,5000,0.7140805809271803
