repeat_id,num_measurements,num_modules,lda1,lda2,sparsity,gene_set_size,best_score
7,50,40,8.0,10.0,0.02,1000,0.797053893512696
8,50,40,8.0,10.0,0.02,1000,0.7869701133623006
9,50,40,8.0,10.0,0.02,1000,0.7980090140672743
10,50,40,8.0,10.0,0.02,1000,0.7659986488952056
1,500,40,8.0,10.0,0.02,5000,0.7938805914168194
2,500,40,8.0,10.0,0.02,5000,0.7889563447332162
3,500,40,8.0,10.0,0.02,5000,0.7892713931225748
4,500,40,8.0,10.0,0.02,5000,0.7865363135429468
5,500,40,8.0,10.0,0.02,5000,0.7934357931958151
6,500,40,8.0,10.0,0.02,5000,0.7910133974215604
7,500,40,8.0,10.0,0.02,5000,0.7905297831227491
8,500,40,8.0,10.0,0.02,5000,0.7908958478712851
9,500,40,8.0,10.0,0.02,5000,0.7873481483876816
10,500,40,8.0,10.0,0.02,5000,0.7977249637417669
1,400,40,8.0,10.0,0.02,5000,0.7927272308924498
2,400,40,8.0,10.0,0.02,5000,0.7739077397038906
3,400,40,8.0,10.0,0.02,5000,0.7820573539598452
4,400,40,8.0,10.0,0.02,5000,0.7887692367000779
5,400,40,8.0,10.0,0.02,5000,0.7795603977171888
6,400,40,8.0,10.0,0.02,5000,0.7853211141429587
7,400,40,8.0,10.0,0.02,5000,0.7845492906233887
8,400,40,8.0,10.0,0.02,5000,0.7833521251909001
9,400,40,8.0,10.0,0.02,5000,0.7925211951114076
10,400,40,8.0,10.0,0.02,5000,0.785341403780601
1,50,40,8.0,10.0,0.02,5000,0.6554321125925165
2,50,40,8.0,10.0,0.02,5000,0.6457058186526761
3,50,40,8.0,10.0,0.02,5000,0.6463174799761456
4,50,40,8.0,10.0,0.02,5000,0.664979085057329
5,50,40,8.0,10.0,0.02,5000,0.6988464267453911
6,50,40,8.0,10.0,0.02,5000,0.6824100334730316
7,50,40,8.0,10.0,0.02,5000,0.6391823408856753
8,50,40,8.0,10.0,0.02,5000,0.6760230915055171
9,50,40,8.0,10.0,0.02,5000,0.6710381586134943
10,50,40,8.0,10.0,0.02,5000,0.6637655574444433
1,150,40,8.0,10.0,0.02,1000,0.8472165069255273
