repeat_id,num_cells,lda1,num_measurements,gene_set_size,lda2,sparsity,best_score
2,1000,12.0,100,1000,10.0,0.02,0.8713738542421935
3,1000,12.0,100,1000,10.0,0.02,0.819318048056388
4,1000,12.0,100,1000,10.0,0.02,0.8613473317013358
5,1000,12.0,100,1000,10.0,0.02,0.8789328151151174
6,1000,12.0,100,1000,10.0,0.02,0.8161384082680765
7,1000,12.0,100,1000,10.0,0.02,0.8294165748423564
8,1000,12.0,100,1000,10.0,0.02,0.8782678648267747
9,1000,12.0,100,1000,10.0,0.02,0.844042456172975
10,1000,12.0,100,1000,10.0,0.02,0.893582309746696
1,10000,8.0,100,1000,10.0,0.02,0.8639571252322671
2,10000,8.0,100,1000,10.0,0.02,0.8609557872401883
3,10000,8.0,100,1000,10.0,0.02,0.857764443262164
4,10000,8.0,100,1000,10.0,0.02,0.8030624091202861
5,10000,8.0,100,1000,10.0,0.02,0.8414659340389402
6,10000,8.0,100,1000,10.0,0.02,0.823445001297163
7,10000,8.0,100,1000,10.0,0.02,0.8392093558192777
8,10000,8.0,100,1000,10.0,0.02,0.8553003633724494
9,10000,8.0,100,1000,10.0,0.02,0.8361439905939437
10,10000,8.0,100,1000,10.0,0.02,0.8487279986432832
1,20000,2.0,100,1000,10.0,0.02,0.8362262750911295
2,20000,2.0,100,1000,10.0,0.02,0.8028108425336561
3,20000,2.0,100,1000,10.0,0.02,0.8181867962893712
4,20000,2.0,100,1000,10.0,0.02,0.814406938373895
5,20000,2.0,100,1000,10.0,0.02,0.8282469757580623
6,20000,2.0,100,1000,10.0,0.02,0.815403663199878
7,20000,2.0,100,1000,10.0,0.02,0.8187374325646314
8,20000,2.0,100,1000,10.0,0.02,0.8215364024638174
9,20000,2.0,100,1000,10.0,0.02,0.8142334188361839
10,20000,2.0,100,1000,10.0,0.02,0.8194148972179571
1,20000,8.0,100,1000,10.0,0.02,0.8297035431085333
2,20000,8.0,100,1000,10.0,0.02,0.8252920906388681
