repeat_id,num_cells,num_modules,num_measurements,gene_set_size,lda1,lda2,sparsity,best_score
7,100000,100,100,1000,8.0,10.0,0.02,0.7203668396606212
8,100000,100,100,1000,8.0,10.0,0.02,0.7277806313203478
9,100000,100,100,1000,8.0,10.0,0.02,0.7412210124536028
10,100000,100,100,1000,8.0,10.0,0.02,0.7374409774348878
1,100000,40,100,1000,8.0,10.0,0.02,0.7410049922991381
2,100000,40,100,1000,8.0,10.0,0.02,0.7331052272990011
3,100000,40,100,1000,8.0,10.0,0.02,0.7445809325737401
4,100000,40,100,1000,8.0,10.0,0.02,0.7505590258205977
5,100000,40,100,1000,8.0,10.0,0.02,0.7554763911677175
6,100000,40,100,1000,8.0,10.0,0.02,0.74520130724864
7,100000,40,100,1000,8.0,10.0,0.02,0.7443945699735486
8,100000,40,100,1000,8.0,10.0,0.02,0.7552386959328439
9,100000,40,100,1000,8.0,10.0,0.02,0.7291880477853765
10,100000,40,100,1000,8.0,10.0,0.02,0.7543004511031213
